index,use,day,tank,treat,date,trapped,num,sex,length,hardness
6C,Y,6,B,C,7/20/2001,TRUE,1,M,42,3
6C,Y,6,B,C,7/20/2001,TRUE,2,F,36,3
6C,Y,6,B,C,7/20/2001,TRUE,3,F,29,3
6C,Y,6,B,C,7/20/2001,TRUE,4,F,31,3
6C,Y,6,B,C,7/20/2001,TRUE,5,M,31,3
6T,Y,6,A,T,7/20/2001,FALSE,1,M,34,3
6T,Y,6,A,T,7/20/2001,FALSE,2,F,33,3
6T,Y,6,A,T,7/20/2001,FALSE,3,M,26,3
6T,Y,6,A,T,7/20/2001,FALSE,4,F,28,3
6T,Y,6,A,T,7/20/2001,FALSE,5,F,21,3
6T,Y,6,A,T,7/20/2001,FALSE,6,F,28,3
6T,Y,6,A,T,7/20/2001,FALSE,7,M,24,3
6T,Y,6,A,T,7/20/2001,FALSE,8,M,28,3
6T,Y,6,A,T,7/20/2001,FALSE,9,F,27,3
6T,Y,6,A,T,7/20/2001,FALSE,10,M,28,3
6T,Y,6,A,T,7/20/2001,FALSE,11,M,26,3
6T,Y,6,A,T,7/20/2001,FALSE,12,M,32,3
6T,Y,6,A,T,7/20/2001,FALSE,13,M,28,3
6T,Y,6,A,T,7/20/2001,FALSE,14,F,25,3
6T,Y,6,A,T,7/20/2001,FALSE,15,F,24,3
6T,Y,6,A,T,7/20/2001,TRUE,1,M,42,3
6T,Y,6,A,T,7/20/2001,TRUE,2,F,29,3
6T,Y,6,A,T,7/20/2001,TRUE,3,F,40,3
6T,Y,6,A,T,7/20/2001,TRUE,4,M,23,3
6T,Y,6,A,T,7/20/2001,TRUE,5,M,30,3
6T,Y,6,A,T,7/20/2001,TRUE,6,F,28,3
6T,Y,6,A,T,7/20/2001,TRUE,7,F,26,3
6T,Y,6,A,T,7/20/2001,TRUE,8,M,31,3
6T,Y,6,A,T,7/20/2001,TRUE,9,M,29,3
6T,Y,6,A,T,7/20/2001,TRUE,10,F,24,3
6T,Y,6,A,T,7/20/2001,TRUE,11,M,30,3
6T,Y,6,A,T,7/20/2001,TRUE,12,F,22,3
6T,Y,6,A,T,7/20/2001,TRUE,13,M,24,3
7C,Y,7,A,C,7/21/2001,FALSE,1,M,28,3
7C,Y,7,A,C,7/21/2001,FALSE,2,F,34,3
7C,Y,7,A,C,7/21/2001,FALSE,3,M,33,3
7C,Y,7,A,C,7/21/2001,FALSE,4,M,26,1
7C,Y,7,A,C,7/21/2001,FALSE,5,M,28,3
7C,Y,7,A,C,7/21/2001,FALSE,6,M,30,3
7C,Y,7,A,C,7/21/2001,FALSE,7,F,24,3
7C,Y,7,A,C,7/21/2001,FALSE,8,M,25,3
7C,Y,7,A,C,7/21/2001,FALSE,9,F,31,3
7C,Y,7,A,C,7/21/2001,FALSE,10,F,29,3
7C,Y,7,A,C,7/21/2001,FALSE,11,F,28,3
7C,Y,7,A,C,7/21/2001,FALSE,12,F,25,3
7C,Y,7,A,C,7/21/2001,FALSE,13,F,22,3
7C,Y,7,A,C,7/21/2001,FALSE,14,F,25,3
7C,Y,7,A,C,7/21/2001,FALSE,15,F,27,3
7C,Y,7,A,C,7/21/2001,FALSE,16,F,24,3
7C,Y,7,A,C,7/21/2001,FALSE,17,F,30,3
7C,Y,7,A,C,7/21/2001,FALSE,18,F,26,3
7C,Y,7,A,C,7/21/2001,FALSE,19,M,28,3
7C,Y,7,A,C,7/21/2001,TRUE,1,M,25,3
7C,Y,7,A,C,7/21/2001,TRUE,2,M,32,3
7C,Y,7,A,C,7/21/2001,TRUE,3,M,36,3
7C,Y,7,A,C,7/21/2001,TRUE,4,M,35,3
7C,Y,7,A,C,7/21/2001,TRUE,5,M,37,3
7C,Y,7,A,C,7/21/2001,TRUE,6,F,28,3
7C,Y,7,A,C,7/21/2001,TRUE,7,M,27,3
7C,Y,7,A,C,7/21/2001,TRUE,8,F,31,3
7C,Y,7,A,C,7/21/2001,TRUE,9,F,22,3
7C,Y,7,A,C,7/21/2001,TRUE,10,M,28,3
7C,Y,7,A,C,7/21/2001,TRUE,11,M,25,3
7T,Y,7,B,T,7/21/2001,FALSE,1,M,30,3
7T,Y,7,B,T,7/21/2001,FALSE,2,M,32,3
7T,Y,7,B,T,7/21/2001,FALSE,3,M,35,3
7T,Y,7,B,T,7/21/2001,FALSE,4,M,28,3
7T,Y,7,B,T,7/21/2001,FALSE,5,M,26,3
7T,Y,7,B,T,7/21/2001,FALSE,6,F,27,3
7T,Y,7,B,T,7/21/2001,FALSE,7,M,26,3
7T,Y,7,B,T,7/21/2001,FALSE,8,M,29,3
7T,Y,7,B,T,7/21/2001,FALSE,9,F,31,3
7T,Y,7,B,T,7/21/2001,FALSE,10,M,33,3
7T,Y,7,B,T,7/21/2001,FALSE,11,M,24,3
7T,Y,7,B,T,7/21/2001,FALSE,12,M,25,3
7T,Y,7,B,T,7/21/2001,FALSE,13,F,25,3
7T,Y,7,B,T,7/21/2001,FALSE,14,M,22,3
7T,Y,7,B,T,7/21/2001,FALSE,15,M,31,3
7T,Y,7,B,T,7/21/2001,FALSE,16,F,31,3
7T,Y,7,B,T,7/21/2001,FALSE,17,M,24,3
7T,Y,7,B,T,7/21/2001,FALSE,18,F,26,3
7T,Y,7,B,T,7/21/2001,FALSE,19,F,22,3
7T,Y,7,B,T,7/21/2001,FALSE,20,M,27,3
7T,Y,7,B,T,7/21/2001,FALSE,21,M,24,3
7T,Y,7,B,T,7/21/2001,TRUE,1,F,22,3
7T,Y,7,B,T,7/21/2001,TRUE,2,M,32,3
7T,Y,7,B,T,7/21/2001,TRUE,4,F,25,3
7T,Y,7,B,T,7/21/2001,TRUE,5,M,27,3
7T,Y,7,B,T,7/21/2001,TRUE,6,F,40,3
7T,Y,7,B,T,7/21/2001,TRUE,7,M,33,3
7T,Y,7,B,T,7/21/2001,TRUE,8,F,21,3
8C,Y,8,A,C,7/22/2001,FALSE,1,F,27,3
8C,Y,8,A,C,7/22/2001,FALSE,2,F,29,3
8C,Y,8,A,C,7/22/2001,FALSE,3,M,31,2
8C,Y,8,A,C,7/22/2001,FALSE,4,M,33,3
8C,Y,8,A,C,7/22/2001,FALSE,5,M,30,3
8C,Y,8,A,C,7/22/2001,FALSE,6,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,7,F,28,2
8C,Y,8,A,C,7/22/2001,FALSE,8,M,29,3
8C,Y,8,A,C,7/22/2001,FALSE,9,M,28,3
8C,Y,8,A,C,7/22/2001,FALSE,10,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,11,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,12,F,29,3
8C,Y,8,A,C,7/22/2001,FALSE,13,F,29,3
8C,Y,8,A,C,7/22/2001,FALSE,14,M,24,3
8C,Y,8,A,C,7/22/2001,FALSE,15,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,16,F,26,3
8C,Y,8,A,C,7/22/2001,FALSE,17,M,21,3
8C,Y,8,A,C,7/22/2001,FALSE,18,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,19,M,24,3
8C,Y,8,A,C,7/22/2001,FALSE,20,M,23,3
8C,Y,8,A,C,7/22/2001,FALSE,21,F,24,3
8C,Y,8,A,C,7/22/2001,FALSE,22,F,22,3
8C,Y,8,A,C,7/22/2001,FALSE,23,F,22,3
8C,Y,8,A,C,7/22/2001,FALSE,24,F,25,3
8C,Y,8,A,C,7/22/2001,FALSE,25,F,24,3
8C,Y,8,A,C,7/22/2001,TRUE,1,M,39,3
8C,Y,8,A,C,7/22/2001,TRUE,2,M,30,3
8C,Y,8,A,C,7/22/2001,TRUE,3,M,30,3
8C,Y,8,A,C,7/22/2001,TRUE,4,M,29,3
8C,Y,8,A,C,7/22/2001,TRUE,5,M,29,3
8T,Y,8,B,T,7/22/2001,FALSE,1,F,29,3
8T,Y,8,B,T,7/22/2001,FALSE,2,M,41,3
8T,Y,8,B,T,7/22/2001,FALSE,3,F,24,3
8T,Y,8,B,T,7/22/2001,FALSE,4,M,28,3
8T,Y,8,B,T,7/22/2001,FALSE,5,M,32,3
8T,Y,8,B,T,7/22/2001,FALSE,6,M,33,3
8T,Y,8,B,T,7/22/2001,FALSE,7,M,35,3
8T,Y,8,B,T,7/22/2001,FALSE,8,M,31,1
8T,Y,8,B,T,7/22/2001,FALSE,9,F,27,3
8T,Y,8,B,T,7/22/2001,FALSE,10,M,27,3
8T,Y,8,B,T,7/22/2001,FALSE,11,M,32,3
8T,Y,8,B,T,7/22/2001,FALSE,12,F,27,3
8T,Y,8,B,T,7/22/2001,FALSE,13,M,30,3
8T,Y,8,B,T,7/22/2001,FALSE,14,F,29,3
8T,Y,8,B,T,7/22/2001,FALSE,15,F,25,3
8T,Y,8,B,T,7/22/2001,FALSE,16,M,25,3
8T,Y,8,B,T,7/22/2001,FALSE,17,M,31,3
8T,Y,8,B,T,7/22/2001,FALSE,18,F,32,3
8T,Y,8,B,T,7/22/2001,FALSE,19,M,31,3
8T,Y,8,B,T,7/22/2001,FALSE,20,M,26,3
8T,Y,8,B,T,7/22/2001,FALSE,21,M,22,3
8T,Y,8,B,T,7/22/2001,TRUE,1,M,30,3
8T,Y,8,B,T,7/22/2001,TRUE,2,M,32,3
8T,Y,8,B,T,7/22/2001,TRUE,3,M,33,2
8T,Y,8,B,T,7/22/2001,TRUE,4,F,25,3
8T,Y,8,B,T,7/22/2001,TRUE,5,F,28,3
8T,Y,8,B,T,7/22/2001,TRUE,6,M,28,3
8T,Y,8,B,T,7/22/2001,TRUE,7,M,31,3
8T,Y,8,B,T,7/22/2001,TRUE,8,F,28,3
8T,Y,8,B,T,7/22/2001,TRUE,9,F,28,3
9C,Y,9,A,C,7/23/2001,FALSE,1,M,22,3
9C,Y,9,A,C,7/23/2001,FALSE,2,F,26,3
9C,Y,9,A,C,7/23/2001,FALSE,3,F,25,3
9C,Y,9,A,C,7/23/2001,FALSE,4,M,29,2
9C,Y,9,A,C,7/23/2001,FALSE,5,M,28,3
9C,Y,9,A,C,7/23/2001,FALSE,6,M,26,2
9C,Y,9,A,C,7/23/2001,FALSE,7,M,27,3
9C,Y,9,A,C,7/23/2001,FALSE,8,M,24,3
9C,Y,9,A,C,7/23/2001,FALSE,9,F,25,2
9C,Y,9,A,C,7/23/2001,FALSE,10,F,24,3
9C,Y,9,A,C,7/23/2001,FALSE,11,F,23,3
9C,Y,9,A,C,7/23/2001,FALSE,12,F,23,3
9C,Y,9,A,C,7/23/2001,FALSE,13,M,23,2
9C,Y,9,A,C,7/23/2001,FALSE,14,F,22,3
9C,Y,9,A,C,7/23/2001,TRUE,1,M,36,3
9C,Y,9,A,C,7/23/2001,TRUE,2,M,30,3
9C,Y,9,A,C,7/23/2001,TRUE,3,M,31,3
9C,Y,9,A,C,7/23/2001,TRUE,4,M,27,3
9C,Y,9,A,C,7/23/2001,TRUE,5,M,27,3
9C,Y,9,A,C,7/23/2001,TRUE,6,M,22,3
9C,Y,9,A,C,7/23/2001,TRUE,7,F,25,3
9C,Y,9,A,C,7/23/2001,TRUE,8,F,27,3
9C,Y,9,A,C,7/23/2001,TRUE,9,F,25,3
9C,Y,9,A,C,7/23/2001,TRUE,10,F,26,3
9C,Y,9,A,C,7/23/2001,TRUE,11,M,23,3
9C,Y,9,A,C,7/23/2001,TRUE,12,M,25,3
9C,Y,9,A,C,7/23/2001,TRUE,13,F,23,3
9C,Y,9,A,C,7/23/2001,TRUE,14,M,24,3
9C,Y,9,A,C,7/23/2001,TRUE,15,M,24,3
9C,Y,9,A,C,7/23/2001,TRUE,16,M,23,3
9T,Y,9,B,T,7/23/2001,FALSE,1,F,19,3
9T,Y,9,B,T,7/23/2001,FALSE,2,F,21,3
9T,Y,9,B,T,7/23/2001,FALSE,3,M,30,1
9T,Y,9,B,T,7/23/2001,FALSE,4,F,28,3
9T,Y,9,B,T,7/23/2001,FALSE,5,F,26,3
9T,Y,9,B,T,7/23/2001,FALSE,6,F,24,3
9T,Y,9,B,T,7/23/2001,FALSE,7,M,23,3
9T,Y,9,B,T,7/23/2001,FALSE,8,M,26,3
9T,Y,9,B,T,7/23/2001,TRUE,1,M,25,3
9T,Y,9,B,T,7/23/2001,TRUE,2,M,26,3
9T,Y,9,B,T,7/23/2001,TRUE,3,M,24,3
9T,Y,9,B,T,7/23/2001,TRUE,4,M,23,3
9T,Y,9,B,T,7/23/2001,TRUE,5,M,23,3
9T,Y,9,B,T,7/23/2001,TRUE,6,F,23,3
9T,Y,9,B,T,7/23/2001,TRUE,7,M,26,3
9T,Y,9,B,T,7/23/2001,TRUE,8,M,28,3
9T,Y,9,B,T,7/23/2001,TRUE,9,M,24,3
9T,Y,9,B,T,7/23/2001,TRUE,10,F,24,3
9T,Y,9,B,T,7/23/2001,TRUE,11,F,26,3
9T,Y,9,B,T,7/23/2001,TRUE,12,M,25,3
9T,Y,9,B,T,7/23/2001,TRUE,13,M,36,3
9T,Y,9,B,T,7/23/2001,TRUE,14,F,33,2
9T,Y,9,B,T,7/23/2001,TRUE,15,M,29,2
9T,Y,9,B,T,7/23/2001,TRUE,16,M,25,3
9T,Y,9,B,T,7/23/2001,TRUE,17,M,29,3
9T,Y,9,B,T,7/23/2001,TRUE,18,M,28,3
9T,Y,9,B,T,7/23/2001,TRUE,19,M,28,3
9T,Y,9,B,T,7/23/2001,TRUE,20,M,27,3
10C,Y,10,A,C,7/24/2001,FALSE,1,M,33,3
10C,Y,10,A,C,7/24/2001,FALSE,2,F,36,1
10C,Y,10,A,C,7/24/2001,FALSE,3,F,29,1
10C,Y,10,A,C,7/24/2001,FALSE,4,M,25,3
10C,Y,10,A,C,7/24/2001,FALSE,5,M,33,3
10C,Y,10,A,C,7/24/2001,FALSE,6,F,24,3
10C,Y,10,A,C,7/24/2001,FALSE,7,M,21,3
10C,Y,10,A,C,7/24/2001,FALSE,8,F,23,3
10C,Y,10,A,C,7/24/2001,FALSE,9,F,21,3
10C,Y,10,A,C,7/24/2001,FALSE,10,F,25,3
10C,Y,10,A,C,7/24/2001,FALSE,11,M,23,3
10C,Y,10,A,C,7/24/2001,FALSE,12,F,23,2
10C,Y,10,A,C,7/24/2001,FALSE,13,F,25,3
10C,Y,10,A,C,7/24/2001,FALSE,14,M,24,3
10C,Y,10,A,C,7/24/2001,FALSE,15,M,21,3
10C,Y,10,A,C,7/24/2001,FALSE,16,M,22,3
10C,Y,10,A,C,7/24/2001,FALSE,17,F,23,3
10C,Y,10,A,C,7/24/2001,FALSE,18,M,20,3
10C,Y,10,A,C,7/24/2001,FALSE,19,F,21,3
10C,Y,10,A,C,7/24/2001,FALSE,20,F,22,3
10C,Y,10,A,C,7/24/2001,FALSE,21,F,22,3
10C,Y,10,A,C,7/24/2001,FALSE,22,F,20,3
10C,Y,10,A,C,7/24/2001,FALSE,23,F,20,3
10C,Y,10,A,C,7/24/2001,FALSE,24,M,20,3
10C,Y,10,A,C,7/24/2001,FALSE,25,F,22,3
10C,Y,10,A,C,7/24/2001,FALSE,26,F,21,3
10C,Y,10,A,C,7/24/2001,TRUE,1,M,33,3
10C,Y,10,A,C,7/24/2001,TRUE,2,M,25,3
10C,Y,10,A,C,7/24/2001,TRUE,3,M,24,3
10C,Y,10,A,C,7/24/2001,TRUE,4,F,25,3
10T,Y,10,B,T,7/24/2001,FALSE,1,F,35,2
10T,Y,10,B,T,7/24/2001,FALSE,2,M,31,3
10T,Y,10,B,T,7/24/2001,FALSE,3,M,26,3
10T,Y,10,B,T,7/24/2001,FALSE,4,F,27,3
10T,Y,10,B,T,7/24/2001,FALSE,5,M,25,3
10T,Y,10,B,T,7/24/2001,FALSE,6,F,24,3
10T,Y,10,B,T,7/24/2001,FALSE,7,M,28,3
10T,Y,10,B,T,7/24/2001,FALSE,8,M,27,3
10T,Y,10,B,T,7/24/2001,FALSE,9,M,21,3
10T,Y,10,B,T,7/24/2001,FALSE,10,M,21,3
10T,Y,10,B,T,7/24/2001,FALSE,11,M,21,3
10T,Y,10,B,T,7/24/2001,FALSE,12,M,26,3
10T,Y,10,B,T,7/24/2001,FALSE,13,F,22,3
10T,Y,10,B,T,7/24/2001,FALSE,14,F,23,3
10T,Y,10,B,T,7/24/2001,FALSE,15,F,22,3
10T,Y,10,B,T,7/24/2001,FALSE,16,M,24,3
10T,Y,10,B,T,7/24/2001,FALSE,17,M,25,3
10T,Y,10,B,T,7/24/2001,FALSE,18,M,21,3
10T,Y,10,B,T,7/24/2001,FALSE,19,M,20,3
10T,Y,10,B,T,7/24/2001,FALSE,20,F,22,3
10T,Y,10,B,T,7/24/2001,FALSE,21,F,22,3
10T,Y,10,B,T,7/24/2001,FALSE,22,F,21,3
10T,Y,10,B,T,7/24/2001,FALSE,23,F,20,3
10T,Y,10,B,T,7/24/2001,TRUE,1,M,26,3
10T,Y,10,B,T,7/24/2001,TRUE,2,M,36,3
10T,Y,10,B,T,7/24/2001,TRUE,3,M,25,3
10T,Y,10,B,T,7/24/2001,TRUE,4,M,21,3
10T,Y,10,B,T,7/24/2001,TRUE,5,F,21,3
10T,Y,10,B,T,7/24/2001,TRUE,6,F,20,3
10T,Y,10,B,T,7/24/2001,TRUE,7,F,21,3
11C,Y,11,B,C,8/1/2001,FALSE,1,F,26,3
11C,Y,11,B,C,8/1/2001,FALSE,2,F,21,3
11C,Y,11,B,C,8/1/2001,FALSE,3,M,29,3
11C,Y,11,B,C,8/1/2001,FALSE,4,F,28,3
11C,Y,11,B,C,8/1/2001,FALSE,5,F,30,3
11C,Y,11,B,C,8/1/2001,FALSE,6,F,25,3
11C,Y,11,B,C,8/1/2001,FALSE,7,F,25,3
11C,Y,11,B,C,8/1/2001,FALSE,8,M,27,3
11C,Y,11,B,C,8/1/2001,FALSE,9,F,30,3
11C,Y,11,B,C,8/1/2001,FALSE,10,M,32,3
11C,Y,11,B,C,8/1/2001,FALSE,11,F,24,3
11C,Y,11,B,C,8/1/2001,FALSE,12,F,32,3
11C,Y,11,B,C,8/1/2001,FALSE,13,M,26,3
11C,Y,11,B,C,8/1/2001,FALSE,14,F,28,3
11C,Y,11,B,C,8/1/2001,FALSE,15,F,27,3
11C,Y,11,B,C,8/1/2001,FALSE,16,F,28,3
11C,Y,11,B,C,8/1/2001,FALSE,17,F,25,3
11C,Y,11,B,C,8/1/2001,FALSE,18,F,26,3
11C,Y,11,B,C,8/1/2001,FALSE,19,F,25,3
11C,Y,11,B,C,8/1/2001,TRUE,1,M,28,3
11C,Y,11,B,C,8/1/2001,TRUE,2,F,31,3
11C,Y,11,B,C,8/1/2001,TRUE,3,M,33,3
11C,Y,11,B,C,8/1/2001,TRUE,4,F,28,3
11C,Y,11,B,C,8/1/2001,TRUE,5,M,31,3
11C,Y,11,B,C,8/1/2001,TRUE,6,F,28,3
11C,Y,11,B,C,8/1/2001,TRUE,7,M,28,3
11C,Y,11,B,C,8/1/2001,TRUE,8,M,26,3
11C,Y,11,B,C,8/1/2001,TRUE,9,M,30,3
11C,Y,11,B,C,8/1/2001,TRUE,10,M,27,3
11C,Y,11,B,C,8/1/2001,TRUE,11,M,38,3
11T,Y,11,A,T,8/1/2001,FALSE,1,M,26,2
11T,Y,11,A,T,8/1/2001,FALSE,2,F,26,3
11T,Y,11,A,T,8/1/2001,FALSE,3,F,23,3
11T,Y,11,A,T,8/1/2001,TRUE,1,M,31,3
11T,Y,11,A,T,8/1/2001,TRUE,2,M,29,3
11T,Y,11,A,T,8/1/2001,TRUE,3,F,36,3
11T,Y,11,A,T,8/1/2001,TRUE,4,M,35,3
11T,Y,11,A,T,8/1/2001,TRUE,5,M,23,3
11T,Y,11,A,T,8/1/2001,TRUE,6,F,35,3
11T,Y,11,A,T,8/1/2001,TRUE,7,M,29,3
11T,Y,11,A,T,8/1/2001,TRUE,8,F,25,3
11T,Y,11,A,T,8/1/2001,TRUE,9,F,30,3
11T,Y,11,A,T,8/1/2001,TRUE,10,M,26,3
11T,Y,11,A,T,8/1/2001,TRUE,11,M,28,3
11T,Y,11,A,T,8/1/2001,TRUE,12,M,26,3
11T,Y,11,A,T,8/1/2001,TRUE,13,F,30,3
11T,Y,11,A,T,8/1/2001,TRUE,14,F,28,3
11T,Y,11,A,T,8/1/2001,TRUE,15,F,30,3
